Name;Globale ID;Teilort;Zusatz
Mercedes-Benz Welt;de:08111:2331;Stuttgart;
Veielbrunnenweg;de:08111:2332;Stuttgart;
Römerstraße;de:08115:2333;Leonberg;
Rappenhof;de:08115:2334;Leonberg;
Schumisberg;de:08115:2335;Leonberg;
Waldfriedhof;de:08115:2336;Leonberg;Leonberg
Gerlinger Straße;de:08115:2338;Ramtel;Ramtel
Göppinger Straße;de:08115:2339;Ramtel;Ramtel
Glemseckstraße;de:08115:2340;Eltingen;
Mörike-Schule;de:08115:2341;Eltingen;
Forsthaus II;de:08111:2342;Stuttgart;
Cannstatter Wasen;de:08111:2343;Stuttgart;
Tennisplatz;de:08111:2344;Stuttgart;Stuttgart
Belforter Platz;de:08115:2345;Leonberg;
Generatorstraße;de:08111:2346;Stuttgart;
Kranstraße;de:08111:2347;Stuttgart;
Lilienthalstraße;de:08111:2348;Stuttgart;
Seegarten;de:08115:2349;Leonberg;
Motorstraße 24;de:08111:2350;Stuttgart;
Neue Ramtelstraße;de:08115:2351;Ramtel;
Altstadt;de:08115:2352;Leonberg;Leonberg
Tiroler Straße;de:08115:2353;Eltingen;
Törlensweg;de:08115:2355;Leonberg;
Blosenbergkirche;de:08115:2356;Leonberg;
Hemminger Straße;de:08111:2357;Stuttgart;Stuttgart
Elwertstraße;de:08111:2358;Stuttgart;
Leonberger Dreieck;de:08115:2359;Eltingen;
Leonberger Straße;de:08115:2360;Eltingen;Eltingen
Heinrich-Essig-Straße;de:08115:2363;Leonberg;
Walter-Helmes-Weg;de:08115:2364;Leonberg;
Korntaler Straße;de:08115:2366;Leonberg;Leonberg
Ulmer Straße;de:08115:2368;Ramtel;Ramtel
Dieselstraße;de:08119:2370;Oeffingen;Oeffingen
Daimlerstraße;de:08119:2371;Oeffingen;Oeffingen
Rathaus;de:08119:2372;Oeffingen;Oeffingen
Klosterplatz;de:08119:2373;Oeffingen;
Alemannenstraße;de:08119:2374;Oeffingen;Oeffingen
Dorfwiesen;de:08119:2375;Schmiden;
Bühnerstraße;de:08119:2376;Schmiden;
Rathaus;de:08119:2377;Schmiden;Schmiden
Jakob-/Butterstraße;de:08119:2378;Schmiden;
Friedrichstraße;de:08119:2379;Schmiden;Schmiden
Auf der Gans;de:08111:2380;Stuttgart;
Gemeindezentrum;de:08119:2381;Oeffingen;Oeffingen
Kleiner Ostring;de:08111:2382;Stuttgart;
Sportgelände Tennwengert;de:08119:2383;Oeffingen;
Ludwigsburger Straße;de:08119:2384;Oeffingen;Oeffingen
Kräherwald;de:08111:2401;Stuttgart;
Gaußstraße;de:08111:2402;Stuttgart;
Fichtestraße;de:08111:2403;Stuttgart;
Honoldweg;de:08111:2404;Stuttgart;
Wunnensteinstraße;de:08111:2405;Stuttgart;
Tunnel Ostportal;de:08111:2406;Stuttgart;
Leibnizstraße;de:08111:2407;Stuttgart;Stuttgart
Geibelstraße;de:08111:2408;Stuttgart;
Mörikestraße;de:08111:2409;Stuttgart;Stuttgart
Marien-/Silberburgstraße;de:08111:2410;Stuttgart;
Markuskirche;de:08111:2411;Stuttgart;
Zellerstraße;de:08111:2413;Stuttgart;
Lehenstraße;de:08111:2414;Stuttgart;
Metzgerhau;de:08111:2415;Stuttgart;
Forsthaus I;de:08111:2416;Stuttgart;
Umgelterweg;de:08111:2417;Stuttgart;
Aspenwaldstraße;de:08111:2418;Stuttgart;
Händelstraße;de:08111:2419;Stuttgart;
Laihle;de:08111:2420;Stuttgart;
Botnang Freibad;de:08111:2421;Stuttgart;
Feuerbach Friedhof;de:08111:2422;Stuttgart;
Heimberg;de:08111:2423;Stuttgart;
Wildensteinstraße;de:08111:2424;Stuttgart;
Forsthaus Parkplatz;de:08111:2425;Stuttgart;
Mähderklinge;de:08111:2427;Stuttgart;
Alter Gutshof;de:08111:2428;Stuttgart;
Paul-Lincke-Straße;de:08111:2429;Stuttgart;
Kirchheimer Straße;de:08111:2430;Stuttgart;Stuttgart
Im Lauch;de:08111:2431;Stuttgart;
Bußbachstraße;de:08111:2432;Stuttgart;
In der Werre;de:08111:2433;Stuttgart;
Baumgartenweg;de:08111:2434;Stuttgart;
Oberwiesenstraße 55;de:08111:2435;Stuttgart;
Fridinger Straße;de:08111:2436;Stuttgart;
Kühwasen;de:08111:2437;Stuttgart;
Treiberstraße;de:08111:2438;Stuttgart;
Erdbeerweg;de:08111:2439;Stuttgart;
Im Chausseefeld;de:08111:2440;Stuttgart;
Im Himmerreich;de:08111:2450;Stuttgart;
